step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,area_pos,interface_ymin,interface_ymax,mac_iters,visc_iters,nodal_iters,umax
0,0,0,0,2.4979e-10,0,2,1.90012,2.09988,12,3,93,0
5,0.005,0.001,3.23932e-05,1.5705e-11,0.0200081,2,1.90009,2.09991,13,3,74,0.0139814
