problem zalesak
grid 100 100
steps 623
t_final 628
exact_area 582.207
area_sharp_initial 581.74
area_sharp_final 569.08
area_loss_pct 2.2547
area_heaviside_initial 583.989
area_heaviside_final 571.213
perimeter_initial 140.758
interface_error_initial 1.6
interface_error_final 184.54
interface_error_final_over_L 1.31104
grad_err_max_band 0.0335472
grad_err_mean_band 0.0021452
sign_guard_hits_last 0
