problem vortex
grid 64 64
steps 2048
t_final 4
exact_area 0.0706858
area_sharp_initial 0.070625
area_sharp_final 0.0543994
area_loss_pct 23.0406
area_heaviside_initial 0.0710875
area_heaviside_final 0.0549156
perimeter_initial 0.940645
interface_error_initial 9.76563e-05
interface_error_final 0.0181934
interface_error_final_over_L 0.0193414
grad_err_max_band 0.263514
grad_err_mean_band 0.00828176
sign_guard_hits_last 0
