problem disk
grid 64 64
steps 0
t_final 0
exact_area 0.19635
area_sharp_initial 0.196143
area_sharp_final 0.196143
area_loss_pct 0.105405
area_heaviside_initial 0.196669
area_heaviside_final 0.196669
perimeter_initial 1.56897
interface_error_initial 0.000273438
interface_error_final 0.000273438
interface_error_final_over_L 0.000174278
grad_err_max_band 0.00294822
grad_err_mean_band 0.000719935
sign_guard_hits_last 0
