problem zalesak
grid 50 50
steps 308
t_final 628
exact_area 582.207
area_sharp_initial 581.6
area_sharp_final 582.72
area_loss_pct -0.0881077
area_heaviside_initial 591.369
area_heaviside_final 591.582
perimeter_initial 126.138
interface_error_initial 9.04
interface_error_final 215.52
interface_error_final_over_L 1.7086
grad_err_max_band 0.0471473
grad_err_mean_band 0.00515136
sign_guard_hits_last 0
