step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,area_pos,interface_ymin,interface_ymax,mac_iters,visc_iters,nodal_iters,umax
0,0,0,0,1.50543e-10,0,2,1.90012,2.09988,530,4,411,0
5,0.005,0.001,3.23932e-05,2.58032e-11,0.0200081,2,1.90009,2.09991,547,4,331,0.0139814
10,0.01,0.001,0.000129188,3.55046e-11,0.0180019,2,1.89999,2.10001,546,4,333,0.0278935
15,0.015,0.001,0.000290096,4.14755e-11,0.0174036,2,1.89983,2.10018,550,4,335,0.0417738
20,0.02,0.001,0.000515076,4.70611e-11,0.0172467,2,1.8996,2.1004,550,4,336,0.0556221
