step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,area_pos,interface_ymin,interface_ymax,mac_iters,visc_iters,nodal_iters,umax
0,0,0,0,2.4979e-10,0,2,1.90012,2.09988,12,3,93,0
5,0.005,0.001,3.23932e-05,1.5705e-11,0.0200081,2,1.90009,2.09991,13,3,74,0.0139814
10,0.01,0.001,0.000129188,8.61332e-11,0.0180019,2,1.89999,2.10001,12,3,71,0.0278935
15,0.015,0.001,0.000290096,9.07396e-11,0.0174036,2,1.89983,2.10018,11,3,73,0.0417738
20,0.02,0.001,0.000515076,9.2105e-11,0.0172467,2,1.8996,2.1004,11,3,74,0.0556221
