problem zalesak
grid 100 100
steps 623
t_final 628
exact_area 582.207
area_sharp_initial 581.8
area_sharp_final 585.01
area_loss_pct -0.481439
area_heaviside_initial 585.817
area_heaviside_final 597.836
perimeter_initial 142.368
interface_error_initial 1.14
interface_error_final 43.97
interface_error_final_over_L 0.308847
grad_err_max_band 0.997105
grad_err_mean_band 0.333962
sign_guard_hits_last 0
